epoch,loss,train_acc_pct,lr,margin,opt_steps,epoch_time_s,top1_pct,top5_pct,eer_pct
0,,,,,,,83.19,89.72,8.34
1,7.9966,10.18,,,,1265.3,85.26,90.21,8.18
2,4.3418,28.04,,,,1157.0,85.96,90.37,7.54
3,3.7865,33.53,,,,1158.5,86.24,90.48,7.54
4,3.5263,36.56,,,,1152.8,86.62,91.08,7.15
5,3.3568,38.4,,,,1147.1,86.83,91.08,6.9
6,3.2149,40.16,,,,1309.2,86.94,91.02,6.85
7,3.1552,41.07,,,,1399.2,86.89,91.08,6.71
8,3.0379,42.77,,,,1421.5,87.32,91.08,6.82
9,2.9576,43.87,,,,1417.6,87.05,91.24,6.58
10,2.8722,45.04,,,,1396.5,87.38,91.24,6.47
11,2.8405,45.59,,,,1398.2,87.0,91.29,6.58
12,2.7733,46.44,,,,1402.1,87.27,91.51,6.57
13,2.7122,47.52,,,,1197.6,87.16,91.62,6.4
14,2.6939,47.76,,,,1243.0,87.6,91.35,6.66
15,2.6199,48.55,,,,2348.3,87.49,91.62,6.47
16,2.5908,49.16,,,,2922.3,87.6,91.51,6.7
17,2.5389,49.97,,,,1460.5,86.89,91.46,6.26
18,2.5209,50.47,,,,1310.3,87.65,91.51,6.34
19,2.4771,51.02,,,,1190.1,87.38,91.73,6.22
20,2.4267,51.77,,,,1158.9,87.7,91.57,6.24
21,2.4143,51.91,,,,1212.1,87.49,92.22,6.14
22,2.3755,52.51,,,,1415.6,87.87,91.46,6.43
23,2.3399,53.04,,,,1391.5,87.54,91.4,6.26
24,2.3149,53.45,,,,1393.4,87.98,92.11,6.32
25,2.2759,53.97,,,,1376.0,87.6,91.57,6.53
26,2.2798,54.22,,,,1390.0,87.92,91.84,6.15
27,2.2448,54.67,,,,1395.5,87.98,92.33,6.14
28,5.5063,27.64,,,,1248.3,87.49,92.0,6.32
29,2.4747,51.39,,,,1226.5,87.81,91.62,6.06
30,2.2899,53.9,,,,1151.5,87.87,91.73,6.07
31,2.2026,55.67,,,,1143.8,87.92,91.95,6.11
32,2.155,56.23,,,,1149.8,87.98,92.0,6.09
33,2.1172,56.93,,,,1149.4,88.19,91.95,6.13
34,2.0859,57.39,,,,1149.0,87.87,92.33,5.91
35,2.0688,57.69,,,,1153.4,88.25,92.17,5.94
36,2.0413,58.3,,,,1148.0,87.98,92.6,6.2
37,2.0248,58.47,,,,1152.3,88.14,92.82,6.09
38,1.9877,59.17,,,,1148.4,87.81,92.76,5.76
39,1.9858,59.14,,,,1149.5,87.81,92.6,5.89
40,1.9671,59.63,,,,1149.5,87.7,92.27,6.24
41,1.9598,59.49,,,,1151.5,87.92,92.11,6.14
42,1.9294,60.32,,,,1143.2,87.54,92.49,5.83
43,1.9053,60.6,,,,1147.1,88.03,92.66,5.86
44,1.8934,60.67,,,,1156.8,88.14,92.55,6.14
45,1.8746,61.41,,,,1150.5,88.3,92.55,6.12
46,1.8695,61.18,,,,1153.3,88.25,92.27,5.95
47,1.8514,61.45,,,,1168.7,88.19,92.06,6.1
48,1.8374,61.98,,,,1145.4,88.19,92.06,5.95
49,1.8187,62.32,,,,1150.1,87.6,92.06,6.06
